,Post Type,Profile Name,Date,Time,Likes,Text,AP,sentiment_output,sentiment_probability,English Text (Google Translate),processed_text,sentiment_numeric,tokenized_review,Text_Clean
84,Astronaut Post,Martha Alicia Gtz Gallardo,14-04-2024,21:04:28,0,Muchas felicidades y que honor tan grande que lo tengan ahí en El Salvador yo vi su película ahí como luchó para llegar a donde ahora está hermosa película saludos muchos saludos y felicidades que Dios los bendiga,POS,POS,0.993144035,"Congratulations and what a great honor that you have it there in El Salvador. I saw your film there, how you fought to get to where you are now. Beautiful film. Greetings. Greetings and congratulations. God bless you.",much felic honor tant grand ahi salvador vi pelicul ahi luch lleg ahor hermos pelicul salud salud felic dio bendig,0,Muchas felicidades y que honor tan grande que lo tengan ah í en El Salvador yo vi su pel í cula ah í como luch ó para llegar a donde ahora est á hermosa pel í cula saludos muchos saludos y felicidades que Dios los bendiga,muchas felicidades y que honor tan grande que lo tengan ah  en el salvador yo vi su pel cula ah  como luch  para llegar a donde ahora est  hermosa pel cula saludos muchos saludos y felicidades que dios los bendiga
85,Astronaut Post,Evangelina Dominguez,13-04-2024,14:56:31,0,Gracias dios por darnos  hombres muy inteligentes como nuestro presidente  el.sr frank. Bendecido día ,POS,POS,0.998488426,Thank you God for giving us very intelligent men like our president Mr. Frank. Blessed day,graci dio darn hombr inteligent president sr frank bendec dia,0,Gracias dios por darnos hombres muy inteligentes como nuestro presidente el . sr frank . Bendecido d í a,gracias dios por darnos  hombres muy inteligentes como nuestro presidente  el sr frank  bendecido d a 
86,Astronaut Post,Cecy Caballero,13-04-2024,04:02:14,2,"Felicidades Francisco Rubio esto que sirva de inspiración para preparar a nuestros niños con una educación de calidad y al salir de la universidad darles la oportunidad de desarrollar sus conocimientos pero lastimosamente aquí eso aun en estos momentos no existe siempre la,mismas prácticas de siempre que no se necesita estudió solo lo que vale es ser familiar de un funcionario del estado y tenes el puesto de trabajó seguro si la familia de Francisco Rubio lo dejan aquí en el país aún con esa capacidad intelectual que tiene les aseguro que jamás hubiese llegado a donde esta ahora da pena y me llena de tristeza que a nuestros jóvenes profesionales no los tomen en cuenta mi hija se graduo de lic en relaciones internacionales a metido currículo en un sinfín de instituciones y sigue desemplada me da tristeza por que el esfuerzo de ella y el mio esta truncado por el momento sr presidente ayúdenos en esta situación por fovor",POS,NEG,0.999262393,"Congratulations Francisco Rubio, this may serve as inspiration to prepare our children with a quality education and upon leaving university give them the opportunity to develop their knowledge but unfortunately here even at this time there is not always the same old practices that do not always exist. You only need to study, what is worth it is to be a relative of a state official and you have a secure job if Francisco Rubio's family leaves him here in the country even with that intellectual capacity that he has, I assure you that he would never have gotten to where he is. Now it makes me sad and sad that our young professionals are not taken into account. My daughter graduated with a degree in international relations, having completed her curriculum in countless institutions, and she is still unemployed. It makes me sad because her effort and mine It is truncated for the moment, Mr. President, please help us in this situation.",felic francisc rubi serv inspir prepar niñ educ calid sal univers dar el oportun desarroll conoc lastim aqu aun moment exist siempr mism practic siempr necesit estudi sol val ser famili funcionari ten puest trabaj segur si famili francisc rubi dej aqu pais aun capac intelectual asegur jamas lleg ahor dar pen llen tristez jov profesional tom cuent hij gradu lic relacion internacional met curricul sinfin institu segu desempl dar tristez esfuerz mio trunc moment sr president ayuden situacion fovor,0,"Felicidades Francisco Rubio esto que sirva de inspiraci ó n para preparar a nuestros ni ñ os con una educaci ó n de calidad y al salir de la universidad darles la oportunidad de desarrollar sus conocimientos pero lastimosamente aqu í eso aun en estos momentos no existe siempre la , mismas pr á cticas de siempre que no se necesita estudi ó solo lo que vale es ser familiar de un funcionario del estado y tenes el puesto de trabaj ó seguro si la familia de Francisco Rubio lo dejan aqu í en el pa í s a ú n con esa capacidad intelectual que tiene les aseguro que jam á s hubiese llegado a donde esta ahora da pena y me llena de tristeza que a nuestros j ó venes profesionales no los tomen en cuenta mi hija se graduo de lic en relaciones internacionales a metido curr í culo en un sinf í n de instituciones y sigue desemplada me da tristeza por que el esfuerzo de ella y el mio esta truncado por el momento sr presidente ay ú denos en esta situaci ó n por fovor",felicidades francisco rubio esto que sirva de inspiraci n para preparar a nuestros ni os con una educaci n de calidad y al salir de la universidad darles la oportunidad de desarrollar sus conocimientos pero lastimosamente aqu  eso aun en estos momentos no existe siempre la mismas pr cticas de siempre que no se necesita estudi  solo lo que vale es ser familiar de un funcionario del estado y tenes el puesto de trabaj  seguro si la familia de francisco rubio lo dejan aqu  en el pa s a n con esa capacidad intelectual que tiene les aseguro que jam s hubiese llegado a donde esta ahora da pena y me llena de tristeza que a nuestros j venes profesionales no los tomen en cuenta mi hija se graduo de lic en relaciones internacionales a metido curr culo en un sinf n de instituciones y sigue desemplada me da tristeza por que el esfuerzo de ella y el mio esta truncado por el momento sr presidente ay denos en esta situaci n por fovor
87,Astronaut Post,Lidu Vega,13-04-2024,04:17:12,3,"Asi los queriamos ver a dos grandes y queridos por todos  los Salvadoreños, muchas  felicidades.",POS,POS,0.98548764,"This is how we wanted to see two great people loved by all Salvadorans, congratulations.",asi queri ver dos grand quer salvadoreñ much felic,0,"Asi los queriamos ver a dos grandes y queridos por todos los Salvadore ñ os , muchas felicidades .",asi los queriamos ver a dos grandes y queridos por todos  los salvadore os  muchas  felicidades 
88,Astronaut Post,Rosa Barreto,16-04-2024,09:38:08,0,"A mi querido Paraguay le falta un hombre que tenga los pantalones bien puestos como lo tiene el presidente Nayib Bukele,  que Dios les siga bendiciendo y protegiendo siempre a el y su hermosa familia ❤❤❤❤‍‍‍",POS,POS,0.990894914,"My dear Paraguay is missing a man who has his pants on as well as President Nayib Bukele, may God continue to bless and always protect him and his beautiful family ❤❤❤❤‍‍‍",quer paraguay falt hombr pantalon bien puest president nayib bukel dio segu bendec proteg siempr hermos famili,0,"A mi querido Paraguay le falta un hombre que tenga los pantalones bien puestos como lo tiene el presidente Nayib Bukele , que Dios les siga bendiciendo y protegiendo siempre a el y su hermosa familia ❤ ❤ ❤ ❤ ‍ ‍ ‍",a mi querido paraguay le falta un hombre que tenga los pantalones bien puestos como lo tiene el presidente nayib bukele   que dios les siga bendiciendo y protegiendo siempre a el y su hermosa familia 
89,Astronaut Post,Cindy Arias Ramirez,16-04-2024,02:51:35,0,"Presidente Bukele, que alegria que se reunió con este ejemplar Salvadoreño! Yo acabo de visitar El Salvador la tierra queme vio nacer y lleve a toda mi familia de 10 personas. Tuvimos un lindo tiempo!! No visitaba familia desde el 2008 y una de mis tías fue la primera vez que regresa al país en 40 años!! Wow Dios es bueno!!! La próxima le mando mi agenda para que tengamos la oportunidad de conocer a más de la diáspora ejemplar y triunfante :)  que El Señor Jesus a quien sirvo continué bendiciéndole en abundancia!! Un abrazo a su linda familia.",POS,POS,0.998692691,"President Bukele, what a joy you met with this exemplary Salvadoran! I just visited El Salvador, the land where I was born, and I took my entire family of 10 people. We had a nice time!! I hadn't visited family since 2008 and one of my aunts was the first time she returned to the country in 40 years!! Wow God is good!!! Next time I will send you my agenda so that we have the opportunity to meet more of the exemplary and triumphant diaspora :) May the Lord Jesus whom I serve continue to bless you in abundance!! A hug to your beautiful family.",president bukel alegri reun ejempl salvadoreñ acab visit salvador tierr quem ver nac llev tod famili 10 person lind tiemp visit famili 2008 tia primer vez regres pais 40 año wow dios buen proxim mand agend oportun conoc diaspor ejempl triunfant señor jesus sirv continu bendecir el abund abraz lind famili,0,"Presidente Bukele , que alegria que se reuni ó con este ejemplar Salvadore ñ o ! Yo acabo de visitar El Salvador la tierra queme vio nacer y lleve a toda mi familia de 10 personas . Tuvimos un lindo tiempo ! ! No visitaba familia desde el 2008 y una de mis t í as fue la primera vez que regresa al pa í s en 40 a ñ os ! ! Wow Dios es bueno ! ! ! La pr ó xima le mando mi agenda para que tengamos la oportunidad de conocer a m á s de la di á spora ejemplar y triunfante : ) que El Se ñ or Jesus a quien sirvo continu é bendici é ndole en abundancia ! ! Un abrazo a su linda familia .",presidente bukele  que alegria que se reuni  con este ejemplar salvadore o  yo acabo de visitar el salvador la tierra queme vio nacer y lleve a toda mi familia de 10 personas  tuvimos un lindo tiempo   no visitaba familia desde el 2008 y una de mis t as fue la primera vez que regresa al pa s en 40 a os   wow dios es bueno    la pr xima le mando mi agenda para que tengamos la oportunidad de conocer a m s de la di spora ejemplar y triunfante     que el se or jesus a quien sirvo continu  bendici ndole en abundancia   un abrazo a su linda familia 
90,Astronaut Post,Teresa Escalante,15-04-2024,14:14:39,0,"Que honor tener a nuestros dos personajes, haciendo historia en resaltar a nuestro país, cómo lo son: nuestro Presidente Nayib Bukele y el señor Astronauta Frank Rubio, ellos son orgullo salvadoreño,  Dios los bendiga e ilumine sus  preciosas vidas, para que sigan aportando su sabiduría y su inteligencia al mundo entero. Bendiciones 
                                                     ",POS,POS,0.997566819,"What an honor to have our two characters, making history in highlighting our country, as they are: our President Nayib Bukele and Mr. Astronaut Frank Rubio, they are Salvadoran pride, God bless them and illuminate their precious lives, so that they continue contributing their wisdom and intelligence to the entire world. Blessings
                                                     ",honor ten dos personaj hac histori resalt pais com president nayib bukel señor astronaut frank rubi orgull salvadoreñ dios bendig ilumin precios vid segu aport sabidur inteligent mund enter bendicion,0,"Que honor tener a nuestros dos personajes , haciendo historia en resaltar a nuestro pa í s , c ó mo lo son : nuestro Presidente Nayib Bukele y el se ñ or Astronauta Frank Rubio , ellos son orgullo salvadore ñ o , Dios los bendiga e ilumine sus preciosas vidas , para que sigan aportando su sabidur í a y su inteligencia al mundo entero . Bendiciones  
",que honor tener a nuestros dos personajes  haciendo historia en resaltar a nuestro pa s  c mo lo son  nuestro presidente nayib bukele y el se or astronauta frank rubio  ellos son orgullo salvadore o   dios los bendiga e ilumine sus  preciosas vidas  para que sigan aportando su sabidur a y su inteligencia al mundo entero  bendiciones                                                       
91,Astronaut Post,Maribel Amaya Campos,17-04-2024,04:26:40,1,"Mi admiración respeto y cariño, para ambos, extraordinarios salvadoreños, orgullosa de mi querido Presidente Nayib Bukele y del astronauta Frank Rubio, saludos y bendiciones ❤️",POS,POS,0.957793772,"My admiration, respect and affection, for both of you, extraordinary Salvadorans, proud of my dear President Nayib Bukele and astronaut Frank Rubio, greetings and blessings ❤️",admir respet cariñ ambos extraordinari salvadoreñ orgull quer president nayib bukel astronaut frank rubi salud bendicion,0,"Mi admiraci ó n respeto y cari ñ o , para ambos , extraordinarios salvadore ñ os , orgullosa de mi querido Presidente Nayib Bukele y del astronauta Frank Rubio , saludos y bendiciones ❤ ️",mi admiraci n respeto y cari o  para ambos  extraordinarios salvadore os  orgullosa de mi querido presidente nayib bukele y del astronauta frank rubio  saludos y bendiciones 
92,Astronaut Post,Gamaliel Vásquez,13-04-2024,03:22:25,2,El Salvador ,NEU,NEU,0.983617306,The Savior,salvador,1,El Salvador,el salvador 
93,Astronaut Post,Roxana Jacinto Escobar,13-04-2024,17:03:09,0,Por compartir los dos ser ejemplo para todos y jóvenes ❤️ bendiciones,POS,POS,0.996607184,"For sharing the two of you, being an example for everyone and young people ❤️ blessings",compart dos ser ejempl jov bendicion,0,Por compartir los dos ser ejemplo para todos y j ó venes ❤ ️ bendiciones,por compartir los dos ser ejemplo para todos y j venes  bendiciones
94,Astronaut Post,Marleny Escobar,13-04-2024,10:43:21,2,Histórico momento.  Que orgullo Salvadoreño!!,POS,POS,0.998470128,Historic moment. What Salvadoran pride!!,histor moment orgull salvadoreñ,0,Hist ó rico momento . Que orgullo Salvadore ñ o ! !,hist rico momento   que orgullo salvadore o  
95,Astronaut Post,Digna Caballero,13-04-2024,14:13:45,0,Qué humildad la de el astronauta rubio que Dios lo bendiga siempre y a cada uno De todos aquellos que aman nuestro país y lucha por poner en alto cada día que Dios les dé la fuerza cada día la sabiduría para seguir adelante ￼,POS,NEU,0.700031996,What humility of the blonde astronaut. May God bless him always and each one. Of all those who love our country and fight to put it high every day. May God give them the strength every day and the wisdom to move forward. ￼,humild astronaut rubi dios bendig siempr cad aquel amar pais luch pon alto cad dia dio dar fuerz cad dia sabidu segu adel,0,Qu é humildad la de el astronauta rubio que Dios lo bendiga siempre y a cada uno De todos aquellos que aman nuestro pa í s y lucha por poner en alto cada d í a que Dios les d é la fuerza cada d í a la sabidur í a para seguir adelante ￼,qu  humildad la de el astronauta rubio que dios lo bendiga siempre y a cada uno de todos aquellos que aman nuestro pa s y lucha por poner en alto cada d a que dios les d  la fuerza cada d a la sabidur a para seguir adelante 
96,Astronaut Post,Marleni Rodriguez,13-04-2024,14:49:08,0,"Puro orgullo salvadoreño, el Sr. Frank Rubio y nuestro presidente Nayib Bukele, así como ellos han sido un gran ejemplo y un gran orgullo para nuestro país, así podrían haber más jóvenes en nuestro país que nos llenen de más orgullo a los salvadoreños, bendiciones  para los dos ",POS,POS,0.998190343,"Pure Salvadoran pride, Mr. Frank Rubio and our president Nayib Bukele, just as they have been a great example and a great pride for our country, so there could be more young people in our country who fill us Salvadorans with more pride, blessings for both",pur orgull salvadoreñ sr frank rubi president nayib bukel asi ser gran ejempl gran orgull pais asi pod hab jov pais llen orgull salvadoreñ bendicion dos,0,"Puro orgullo salvadore ñ o , el Sr . Frank Rubio y nuestro presidente Nayib Bukele , as í como ellos han sido un gran ejemplo y un gran orgullo para nuestro pa í s , as í podr í an haber m á s j ó venes en nuestro pa í s que nos llenen de m á s orgullo a los salvadore ñ os , bendiciones para los dos",puro orgullo salvadore o  el sr  frank rubio y nuestro presidente nayib bukele  as  como ellos han sido un gran ejemplo y un gran orgullo para nuestro pa s  as  podr an haber m s j venes en nuestro pa s que nos llenen de m s orgullo a los salvadore os  bendiciones  para los dos 
97,Astronaut Post,Alioska Galban,14-04-2024,01:56:39,0,"Qué maravilla!!! Quién diría , una nación a la que por lo menos en Cuba se le conocía por ser la tierra de Álvaro Torres , todo un ícono de la música , querido por la mayoría de los nuestros y reconocida por sus altas incidencias de violencia , hoy es , pura*** Noticia Buena****no hay dudas que dónde acampa el Ángel del Señor solo hay logros y bendiciones , Adelante Salvador , Bendiciones para ustedes y que los logros solo aumenten , para que el mundo vea lo que HACE una Nación que vive con un corazón alineado a la Voluntad del Señor ❤️❤️❤️",POS,POS,0.998437345,"Wonderful!!! Who would say, a nation that at least in Cuba was known for being the land of Álvaro Torres, a true music icon, loved by the majority of our people and recognized for its high incidences of violence, today is, pure*** Good News****there is no doubt that where the Angel of the Lord camps there are only achievements and blessings, Go ahead Savior, Blessings for you and may the achievements only increase, so that the world can see what a Nation DOES that live with a heart aligned with the Will of the Lord ❤️❤️❤️",maravill quien dec nacion men cub conoc ser tierr alvar torr icon music quer mayor reconoc alto incident violenci hoy pur notici buen dud dond acamp angel señor sol logr bendicion adel salvador bendicion tu logr sol aument mund vea hac nacion viv corazon alin volunt señor,0,"Qu é maravilla ! ! ! Qui é n dir í a , una naci ó n a la que por lo menos en Cuba se le conoc í a por ser la tierra de Á lvaro Torres , todo un í cono de la m ú sica , querido por la mayor í a de los nuestros y reconocida por sus altas incidencias de violencia , hoy es , pura * * * Noticia Buena * * * * no hay dudas que d ó nde acampa el Á ngel del Se ñ or solo hay logros y bendiciones , Adelante Salvador , Bendiciones para ustedes y que los logros solo aumenten , para que el mundo vea lo que HACE una Naci ó n que vive con un coraz ó n alineado a la Voluntad del Se ñ or ❤ ️ ❤ ️ ❤ ️",qu  maravilla    qui n dir a   una naci n a la que por lo menos en cuba se le conoc a por ser la tierra de  lvaro torres   todo un  cono de la m sica   querido por la mayor a de los nuestros y reconocida por sus altas incidencias de violencia   hoy es   pura    noticia buena    no hay dudas que d nde acampa el  ngel del se or solo hay logros y bendiciones   adelante salvador   bendiciones para ustedes y que los logros solo aumenten   para que el mundo vea lo que hace una naci n que vive con un coraz n alineado a la voluntad del se or 
98,Astronaut Post,Elina Castro,16-04-2024,22:47:29,0,"Bonito ver a dos luchadores por poner su patria en alto y lo han logrado a base de sacrificios de amorpor su patrìa y de la mano de Dios q todo lo hace posible. Gracias a los dos a sus familias y q sigan recibiendo grandes bendiciones. Se les quiere, admira y respeta☮️♥️ El Salvador sigue para adelante, gracias a Dios.",POS,POS,0.998783529,"It's nice to see two fighters who have put their homeland on high and have achieved it through sacrifices of love for their homeland and the hand of God who makes everything possible. Thank you both to your families and may you continue to receive great blessings. They are loved, admired and respected☮️♥️ El Salvador continues to move forward, thank God.",bonit ver dos luchador pon patri alto logr bas sacrifici amorpor patr man dio q hac posibl graci dos famili q segu recib grand bendicion quer admir respet salvador segu adel graci dio,0,"Bonito ver a dos luchadores por poner su patria en alto y lo han logrado a base de sacrificios de amorpor su patr ì a y de la mano de Dios q todo lo hace posible . Gracias a los dos a sus familias y q sigan recibiendo grandes bendiciones . Se les quiere , admira y respeta ☮ ️ ♥ ️ El Salvador sigue para adelante , gracias a Dios .",bonito ver a dos luchadores por poner su patria en alto y lo han logrado a base de sacrificios de amorpor su patr a y de la mano de dios q todo lo hace posible  gracias a los dos a sus familias y q sigan recibiendo grandes bendiciones  se les quiere  admira y respeta el salvador sigue para adelante  gracias a dios 
99,Astronaut Post,Wilber Franco,13-04-2024,02:56:18,5,Muy buen gesto de parte del presidente dar la viembenida a un héroe de raíces salvadoreña es un orgullo y como ser humano enseña una gran humildad,POS,POS,0.758548498,Very good gesture on the part of the president to welcome a hero with Salvadoran roots is a source of pride and as a human being it teaches great humility,buen gest part president dar viemben hero raiz salvadoreñ orgull ser human enseñ gran humild,0,Muy buen gesto de parte del presidente dar la viembenida a un h é roe de ra í ces salvadore ñ a es un orgullo y como ser humano ense ñ a una gran humildad,muy buen gesto de parte del presidente dar la viembenida a un h roe de ra ces salvadore a es un orgullo y como ser humano ense a una gran humildad
100,Astronaut Post,Elsy N. Jose,13-04-2024,11:32:49,0,"Que orgullo de seres humanos  e irradian  buena vibra  para los demás gentes de principios  humildad  y grandeza en sus corazones da gusto verlos , y lo mejor q son de mi país y valen oro por lo q son . Dios los bendiga ",POS,POS,0.998802185,"What pride as human beings and they radiate good vibes for other people with principles, humility and greatness in their hearts, it is a pleasure to see them, and the best thing is that they are from my country and are worth gold for what they are. God bless you",orgull ser human irradi buen vibr demas gent principi humild grandez corazon dar gust ver el mejor q pais val oro q dio bendig,0,"Que orgullo de seres humanos e irradian buena vibra para los dem á s gentes de principios humildad y grandeza en sus corazones da gusto verlos , y lo mejor q son de mi pa í s y valen oro por lo q son . Dios los bendiga",que orgullo de seres humanos  e irradian  buena vibra  para los dem s gentes de principios  humildad  y grandeza en sus corazones da gusto verlos   y lo mejor q son de mi pa s y valen oro por lo q son   dios los bendiga 
101,Astronaut Post,Carmen Rivera,13-04-2024,12:59:41,0,Que gran bendición ver que estan juntos el astronauta salvadoreño y el presidente van aser cosas grandes por El Salvador bendiciones,POS,POS,0.997579396,"What a great blessing to see that the Salvadoran astronaut and the president are together, they are going to do great things for El Salvador. Blessings.",gran bendicion ver estir junt astronaut salvadoreñ president ir aser cos grand salvador bendicion,0,Que gran bendici ó n ver que estan juntos el astronauta salvadore ñ o y el presidente van aser cosas grandes por El Salvador bendiciones,que gran bendici n ver que estan juntos el astronauta salvadore o y el presidente van aser cosas grandes por el salvador bendiciones
102,Astronaut Post,Marc Moreno,13-04-2024,15:24:05,0,Que orgullo dos personajes muy importantes !!!,POS,POS,0.998536348,What pride for two very important characters!!!,orgull dos personaj import,0,Que orgullo dos personajes muy importantes ! ! !,que orgullo dos personajes muy importantes    
103,Astronaut Post,Yanira Hellebuyck,14-04-2024,00:32:44,0,Que sencilles de muchacho y un gran Profesional de la Nassa que  aprendan la humildad todos los que miran de menos a las personas sencillas y humildes.felicitaciones,POS,NEU,0.525926232,"What a simple boy and a great Nassa Professional, let all those who look down on simple and humble people learn humility. Congratulations",sencill muchach gran profesional nass aprend humild mir men person sencill humild felicit,0,Que sencilles de muchacho y un gran Profesional de la Nassa que aprendan la humildad todos los que miran de menos a las personas sencillas y humildes . felicitaciones,que sencilles de muchacho y un gran profesional de la nassa que  aprendan la humildad todos los que miran de menos a las personas sencillas y humildes felicitaciones
104,Astronaut Post,Lili Alvares,13-04-2024,06:36:43,2,Horgullosa de ser Salvadoreña con dos personajes como ellos que Dios les bendiga,POS,POS,0.99816221,"Proud to be Salvadoran with two characters like them, God bless them",horgullos ser salvadoreñ dos personaj dio bendig,0,Horgullosa de ser Salvadore ñ a con dos personajes como ellos que Dios les bendiga,horgullosa de ser salvadore a con dos personajes como ellos que dios les bendiga
105,Astronaut Post,Jose Guzman,13-04-2024,19:39:17,0,Un orgullo nuestro q viva El Salvador  antes nos tenían escondidos esos nefastos gobiernos anteriores les daba vergüenza presentarnos como país    ahora gracias a usted señor Presidente a cambiado todo  usted como el mejor Líder de nuestro País hoy nos céntimos horgullosos de ser Salvadoreños  de verda  muchas gracias por darnos el lugar q nos merecemos. Dios lo Bendiga Señor Presidente donde sea q usted esté,POS,POS,0.998038828,"We are proud that El Salvador lives before, those disastrous previous governments had hidden it from us, they were ashamed to present us as a country, now thanks to you, Mr. President, everything has changed, you as the best Leader of our Country, today we feel proud to be truly Salvadorans, thank you very much for give us the place we deserve. God Bless you Mr. President wherever you are",orgull q viv salvador escond nefast gobiern anterior dar vergüenz presentarn pais ahor graci usted señor president cambi usted mejor lid pais hoy cent horgull ser salvadoreñ verd much graci darn lug q merecem dios bendig señor president q usted,0,Un orgullo nuestro q viva El Salvador antes nos ten í an escondidos esos nefastos gobiernos anteriores les daba vergüenza presentarnos como pa í s ahora gracias a usted se ñ or Presidente a cambiado todo usted como el mejor L í der de nuestro Pa í s hoy nos c é ntimos horgullosos de ser Salvadore ñ os de verda muchas gracias por darnos el lugar q nos merecemos . Dios lo Bendiga Se ñ or Presidente donde sea q usted est é,un orgullo nuestro q viva el salvador  antes nos ten an escondidos esos nefastos gobiernos anteriores les daba vergüenza presentarnos como pa s    ahora gracias a usted se or presidente a cambiado todo  usted como el mejor l der de nuestro pa s hoy nos c ntimos horgullosos de ser salvadore os  de verda  muchas gracias por darnos el lugar q nos merecemos  dios lo bendiga se or presidente donde sea q usted est 
106,Astronaut Post,Hernan Galdamez Gutierrez,13-04-2024,13:01:27,0,Mencanta la educacion I su humildad de frank contodo loq a logrado lo felicito I saludos señor presidente gracias por todo lo bueno q esta asiendo en nuestro el salvador bendiciones,POS,POS,0.998898625,"I love the education and Frank's humility with everything he has achieved. I congratulate him. Greetings, Mr. President. Thank you for all the good things that are happening in our El Salvador. Blessings.",mencant educ i humild frank contod loq logr felicit i salud señor president graci buen q asir salvador bendicion,0,Mencanta la educacion I su humildad de frank contodo loq a logrado lo felicito I saludos se ñ or presidente gracias por todo lo bueno q esta asiendo en nuestro el salvador bendiciones,mencanta la educacion i su humildad de frank contodo loq a logrado lo felicito i saludos se or presidente gracias por todo lo bueno q esta asiendo en nuestro el salvador bendiciones
107,Astronaut Post,Vilma Lamorú,18-04-2024,16:10:21,1,"Felicidades y bendiciones a nuestros Paises de America.Es un orgullo tener dos grandes astronautas Latinos,Arnaldo Tamayo de Cuba, ,y Frank Rubio del Salvador,Bendiciones para todos,Mi Dios que todos los PAISES de America se unan para hacer de ella la Patria grande,y que reine la paz,armonia,y desarrollo todos somos hermanos.Viva la paz Mundial❤❤❤❤",POS,POS,0.997192323,"Congratulations and blessings to our American Countries. It is a pride to have two great Latin astronauts, Arnaldo Tamayo from Cuba, and Frank Rubio from Salvador, Blessings to all, My God, may all the COUNTRIES of America unite to make it the Homeland great, and may peace, harmony, and development reign, we are all brothers. Long live World Peace❤❤❤❤",felic bendicion pais amer orgull ten dos grand astronaut latin arnald tamay cub frank rubi salvador bendicion dio pais amer unar hac patri grand rein paz armoni desarroll herman viv paz mundial,0,"Felicidades y bendiciones a nuestros Paises de America . Es un orgullo tener dos grandes astronautas Latinos , Arnaldo Tamayo de Cuba , , y Frank Rubio del Salvador , Bendiciones para todos , Mi Dios que todos los PAISES de America se unan para hacer de ella la Patria grande , y que reine la paz , armonia , y desarrollo todos somos hermanos . Viva la paz Mundial ❤ ❤ ❤ ❤",felicidades y bendiciones a nuestros paises de america es un orgullo tener dos grandes astronautas latinos arnaldo tamayo de cuba   y frank rubio del salvador bendiciones para todos mi dios que todos los paises de america se unan para hacer de ella la patria grande y que reine la paz armonia y desarrollo todos somos hermanos viva la paz mundial
108,Astronaut Post,Ruvia Salgado,13-04-2024,04:32:05,1,Un horgullo hispano muchas bendiciones para el y su familia y  por reconocerlo presidente,POS,POS,0.669393718,"A proud Hispanic man, many blessings for him and his family and for recognizing him as president.",horgull hispan much bendicion famili reconocer el president,0,Un horgullo hispano muchas bendiciones para el y su familia y por reconocerlo presidente,un horgullo hispano muchas bendiciones para el y su familia y  por reconocerlo presidente
109,Astronaut Post,José Alfredo Lopez,13-04-2024,23:26:45,0,"Excelente entrevista de dos grandes, de nuestro precioso EL SALVADOR;
Nuestro presidente, Nayib Bukele y nuestro héroe, Frank Rubio; 
Qué; tanto como nuestro presidente, él uno como el otro; han puesto en alto nuestro país.
Bendiciones para ambos.",POS,POS,0.998699427,"Excellent interview of two greats, from our beautiful EL SALVADOR;
Our president, Nayib Bukele and our hero, Frank Rubio;
That; as much as our president, he one as the other; They have elevated our country.
Blessings to both of you.",excelent entrev dos grand precios salvador president nayib bukel hero frank rubi president puest alto pais bendicion ambos,0,"Excelente entrevista de dos grandes , de nuestro precioso EL SALVADOR ;  
 Nuestro presidente , Nayib Bukele y nuestro h é roe , Frank Rubio ;  
 Qu é ; tanto como nuestro presidente , é l uno como el otro ; han puesto en alto nuestro pa í s .  
 Bendiciones para ambos .",excelente entrevista de dos grandes  de nuestro precioso el salvador  nuestro presidente  nayib bukele y nuestro h roe  frank rubio   qu   tanto como nuestro presidente   l uno como el otro  han puesto en alto nuestro pa s  bendiciones para ambos 
110,Astronaut Post,Elmer Farela,13-04-2024,14:03:43,0,Que me alegra que Dos grandes personajes que hablan el español perfectamente Dios los bendiga,POS,POS,0.99868387,I'm glad that two great characters who speak Spanish perfectly. God bless them.,alegr dos grand personaj habl español perfect dio bendig,0,Que me alegra que Dos grandes personajes que hablan el espa ñ ol perfectamente Dios los bendiga,que me alegra que dos grandes personajes que hablan el espa ol perfectamente dios los bendiga
